# Airfoil (Joukowski)
# a=1, xi0=-0.1, eta0=0.25, r=1.12805
1.219297 0.230045
1.237360 0.226889
1.255238 0.223680
1.272931 0.220421
1.290435 0.217115
1.307748 0.213763
1.324867 0.210368
1.341792 0.206932
1.358518 0.203459
1.375045 0.199951
1.391371 0.196409
1.407493 0.192837
1.423410 0.189238
1.439120 0.185613
1.454622 0.181965
1.469913 0.178297
1.484993 0.174612
1.499861 0.170912
1.514514 0.167199
1.528951 0.163476
1.543173 0.159746
1.557176 0.156011
1.570961 0.152274
1.584526 0.148537
1.597871 0.144803
1.610995 0.141073
1.623897 0.137352
1.636577 0.133640
1.649033 0.129941
1.661266 0.126257
1.673275 0.122590
1.685060 0.118942
1.696620 0.115317
1.707956 0.111715
1.719066 0.108140
1.729952 0.104593
1.740612 0.101077
1.751048 0.097594
1.761259 0.094146
1.771245 0.090735
1.781006 0.087362
1.790543 0.084031
1.799857 0.080743
1.808946 0.077500
1.817813 0.074303
1.826456 0.071155
1.834878 0.068057
1.843078 0.065011
1.851057 0.062019
1.858816 0.059083
1.866355 0.056203
1.873675 0.053382
1.880777 0.050620
1.887661 0.047921
1.894329 0.045284
1.900782 0.042711
1.907020 0.040204
1.913044 0.037764
1.918855 0.035391
1.924454 0.033088
1.929843 0.030855
1.935021 0.028694
1.939992 0.026605
1.944754 0.024590
1.949311 0.022648
1.953662 0.020782
1.957809 0.018993
1.961753 0.017280
1.965495 0.015644
1.969037 0.014087
1.972380 0.012609
1.975525 0.011211
1.978473 0.009893
1.981226 0.008656
1.983785 0.007500
1.986151 0.006425
1.988325 0.005433
1.990309 0.004523
1.992105 0.003695
1.993712 0.002951
1.995134 0.002290
1.996371 0.001713
1.997424 0.001219
1.998295 0.000808
1.998986 0.000482
1.999497 0.000240
1.999830 0.000081
1.999987 0.000006
1.999968 0.000016
1.999775 0.000108
1.999409 0.000285
1.998873 0.000544
1.998166 0.000887
1.997291 0.001313
1.996249 0.001822
1.995041 0.002413
1.993669 0.003087
1.992133 0.003842
1.990436 0.004678
1.988578 0.005596
1.986561 0.006594
1.984386 0.007672
1.982055 0.008830
1.979569 0.010068
1.976929 0.011383
1.974136 0.012777
1.971192 0.014248
1.968098 0.015796
1.964855 0.017421
1.961465 0.019121
1.957929 0.020896
1.954247 0.022745
1.950422 0.024668
1.946455 0.026664
