# circle in zeta-plane case 5
# xi0 = -0.2, eta0 = 0, r = 1.2
# xi   eta   xi/a   eta/a
-0.947018 -0.939130 -0.947018 -0.939130
-0.938794 -0.945613 -0.938794 -0.945613
-0.930514 -0.952024 -0.930514 -0.952024
-0.922178 -0.958363 -0.922178 -0.958363
-0.913787 -0.964628 -0.913787 -0.964628
-0.905342 -0.970820 -0.905342 -0.970820
-0.896844 -0.976939 -0.896844 -0.976939
-0.888292 -0.982982 -0.888292 -0.982982
-0.879687 -0.988951 -0.879687 -0.988951
-0.871031 -0.994845 -0.871031 -0.994845
-0.862324 -1.000663 -0.862324 -1.000663
-0.853567 -1.006405 -0.853567 -1.006405
-0.844760 -1.012070 -0.844760 -1.012070
-0.835903 -1.017658 -0.835903 -1.017658
-0.826998 -1.023168 -0.826998 -1.023168
-0.818046 -1.028601 -0.818046 -1.028601
-0.809046 -1.033955 -0.809046 -1.033955
-0.800000 -1.039230 -0.800000 -1.039230
-0.790908 -1.044427 -0.790908 -1.044427
-0.781772 -1.049544 -0.781772 -1.049544
-0.772591 -1.054581 -0.772591 -1.054581
-0.763366 -1.059537 -0.763366 -1.059537
-0.754098 -1.064413 -0.754098 -1.064413
-0.744789 -1.069208 -0.744789 -1.069208
-0.735437 -1.073921 -0.735437 -1.073921
-0.726045 -1.078553 -0.726045 -1.078553
-0.716613 -1.083102 -0.716613 -1.083102
-0.707142 -1.087569 -0.707142 -1.087569
-0.697632 -1.091954 -0.697632 -1.091954
-0.688084 -1.096255 -0.688084 -1.096255
-0.678499 -1.100472 -0.678499 -1.100472
-0.668877 -1.104606 -0.668877 -1.104606
-0.659220 -1.108655 -0.659220 -1.108655
-0.649528 -1.112621 -0.649528 -1.112621
-0.639801 -1.116501 -0.639801 -1.116501
-0.630042 -1.120297 -0.630042 -1.120297
-0.620249 -1.124007 -0.620249 -1.124007
-0.610424 -1.127631 -0.610424 -1.127631
-0.600568 -1.131170 -0.600568 -1.131170
-0.590682 -1.134622 -0.590682 -1.134622
-0.580766 -1.137988 -0.580766 -1.137988
-0.570820 -1.141268 -0.570820 -1.141268
-0.560847 -1.144460 -0.560847 -1.144460
-0.550846 -1.147566 -0.550846 -1.147566
-0.540818 -1.150584 -0.540818 -1.150584
-0.530765 -1.153514 -0.530765 -1.153514
-0.520686 -1.156357 -0.520686 -1.156357
-0.510583 -1.159111 -0.510583 -1.159111
-0.500456 -1.161777 -0.500456 -1.161777
-0.490306 -1.164355 -0.490306 -1.164355
-0.480134 -1.166844 -0.480134 -1.166844
-0.469941 -1.169244 -0.469941 -1.169244
-0.459728 -1.171555 -0.459728 -1.171555
-0.449494 -1.173777 -0.449494 -1.173777
-0.439242 -1.175910 -0.439242 -1.175910
-0.428971 -1.177953 -0.428971 -1.177953
-0.418683 -1.179906 -0.418683 -1.179906
-0.408378 -1.181769 -0.408378 -1.181769
-0.398057 -1.183543 -0.398057 -1.183543
-0.387721 -1.185226 -0.387721 -1.185226
-0.377371 -1.186819 -0.377371 -1.186819
-0.367008 -1.188322 -0.367008 -1.188322
-0.356631 -1.189734 -0.356631 -1.189734
-0.346243 -1.191055 -0.346243 -1.191055
-0.335844 -1.192286 -0.335844 -1.192286
-0.325434 -1.193426 -0.325434 -1.193426
-0.315015 -1.194475 -0.315015 -1.194475
-0.304587 -1.195434 -0.304587 -1.195434
-0.294151 -1.196301 -0.294151 -1.196301
-0.283708 -1.197077 -0.283708 -1.197077
-0.273258 -1.197762 -0.273258 -1.197762
-0.262803 -1.198355 -0.262803 -1.198355
-0.252343 -1.198858 -0.252343 -1.198858
-0.241879 -1.199269 -0.241879 -1.199269
-0.231412 -1.199589 -0.231412 -1.199589
-0.220943 -1.199817 -0.220943 -1.199817
-0.210472 -1.199954 -0.210472 -1.199954
-0.200000 -1.200000 -0.200000 -1.200000
-0.189528 -1.199954 -0.189528 -1.199954
-0.179057 -1.199817 -0.179057 -1.199817
-0.168588 -1.199589 -0.168588 -1.199589
-0.158121 -1.199269 -0.158121 -1.199269
-0.147657 -1.198858 -0.147657 -1.198858
-0.137197 -1.198355 -0.137197 -1.198355
-0.126742 -1.197762 -0.126742 -1.197762
-0.116292 -1.197077 -0.116292 -1.197077
-0.105849 -1.196301 -0.105849 -1.196301
-0.095413 -1.195434 -0.095413 -1.195434
-0.084985 -1.194475 -0.084985 -1.194475
-0.074566 -1.193426 -0.074566 -1.193426
-0.064156 -1.192286 -0.064156 -1.192286
-0.053757 -1.191055 -0.053757 -1.191055
-0.043369 -1.189734 -0.043369 -1.189734
-0.032992 -1.188322 -0.032992 -1.188322
-0.022629 -1.186819 -0.022629 -1.186819
-0.012279 -1.185226 -0.012279 -1.185226
-0.001943 -1.183543 -0.001943 -1.183543
0.008378 -1.181769 0.008378 -1.181769
0.018683 -1.179906 0.018683 -1.179906
0.028971 -1.177953 0.028971 -1.177953
0.039242 -1.175910 0.039242 -1.175910
0.049494 -1.173777 0.049494 -1.173777
0.059728 -1.171555 0.059728 -1.171555
0.069941 -1.169244 0.069941 -1.169244
