# type = 2
# x0 = 0.1, y0 = 0, z0 = 0
# projection: horizontal = z, vertical = x
# z   x
0.703757 1.844776
0.698787 1.844987
0.693817 1.845196
0.688847 1.845404
0.683877 1.845609
0.678908 1.845813
0.673938 1.846014
0.668968 1.846214
0.663999 1.846412
0.659030 1.846608
0.654061 1.846803
0.649092 1.846995
0.644124 1.847185
0.639156 1.847374
0.634188 1.847561
0.629220 1.847746
0.624253 1.847928
0.619286 1.848110
0.614320 1.848289
0.609354 1.848466
0.604389 1.848641
0.599424 1.848815
0.594459 1.848986
0.589495 1.849156
0.584532 1.849324
0.579569 1.849490
0.574607 1.849654
0.569646 1.849816
0.564685 1.849976
0.559725 1.850135
0.554765 1.850291
0.549807 1.850446
0.544849 1.850599
0.539892 1.850749
0.534936 1.850898
0.529980 1.851045
0.525026 1.851190
0.520072 1.851334
0.515119 1.851475
0.510168 1.851615
0.505217 1.851752
0.500267 1.851888
0.495318 1.852022
0.490370 1.852154
0.485424 1.852284
0.480478 1.852412
0.475534 1.852538
0.470590 1.852662
0.465648 1.852785
0.460707 1.852905
0.455768 1.853024
0.450829 1.853141
0.445892 1.853255
0.440956 1.853368
0.436022 1.853480
0.431088 1.853589
0.426156 1.853696
0.421226 1.853801
0.416297 1.853905
0.411369 1.854007
0.406443 1.854106
0.401519 1.854204
0.396596 1.854300
0.391674 1.854394
0.386754 1.854486
0.381836 1.854576
0.376919 1.854665
0.372004 1.854751
0.367091 1.854836
0.362179 1.854918
0.357269 1.854999
0.352361 1.855078
0.347454 1.855155
0.342550 1.855230
0.337647 1.855303
0.332746 1.855375
0.327847 1.855444
0.322950 1.855511
0.318054 1.855577
0.313161 1.855641
0.308270 1.855703
0.303380 1.855763
0.298493 1.855821
0.293608 1.855877
0.288724 1.855931
0.283843 1.855983
0.278964 1.856034
0.274087 1.856082
0.269213 1.856129
0.264340 1.856174
0.259470 1.856217
0.254602 1.856258
0.249736 1.856297
0.244873 1.856334
0.240012 1.856369
0.235153 1.856403
0.230297 1.856434
0.225443 1.856464
0.220591 1.856491
0.215742 1.856517
0.210895 1.856541
0.206051 1.856563
0.201210 1.856583
0.196371 1.856602
0.191534 1.856618
0.186700 1.856633
0.181869 1.856645
0.177040 1.856656
0.172214 1.856665
0.167391 1.856672
0.162570 1.856677
0.157752 1.856680
0.152937 1.856681
0.148125 1.856680
0.143316 1.856678
0.138509 1.856673
0.133705 1.856667
0.128904 1.856659
0.124106 1.856649
0.119311 1.856637
0.114519 1.856623
0.109730 1.856607
0.104944 1.856590
0.100161 1.856570
0.095381 1.856549
0.090605 1.856525
0.085831 1.856500
0.081060 1.856473
0.076293 1.856444
0.071529 1.856413
0.066767 1.856381
0.062010 1.856346
0.057255 1.856310
0.052504 1.856271
0.047756 1.856231
0.043011 1.856189
0.038270 1.856145
0.033532 1.856099
0.028797 1.856051
0.024066 1.856002
0.019339 1.855950
0.014615 1.855897
0.009894 1.855841
0.005177 1.855784
0.000463 1.855725
-0.004247 1.855664
-0.008953 1.855602
-0.013656 1.855537
-0.018355 1.855470
-0.023051 1.855402
-0.027742 1.855332
-0.032430 1.855259
-0.037115 1.855185
-0.041795 1.855109
-0.046472 1.855032
-0.051145 1.854952
-0.055814 1.854871
-0.060479 1.854787
-0.065141 1.854702
-0.069798 1.854615
-0.074452 1.854526
-0.079101 1.854435
-0.083747 1.854342
-0.088388 1.854247
-0.093026 1.854151
-0.097659 1.854053
-0.102289 1.853952
-0.106914 1.853850
-0.111535 1.853746
-0.116152 1.853640
-0.120765 1.853533
-0.125374 1.853423
-0.129978 1.853312
-0.134579 1.853199
-0.139175 1.853084
-0.143766 1.852967
-0.148354 1.852848
-0.152937 1.852727
-0.157515 1.852604
-0.162089 1.852480
-0.166659 1.852354
-0.171225 1.852226
-0.175786 1.852096
-0.180342 1.851964
-0.184894 1.851830
-0.189441 1.851695
-0.193984 1.851557
-0.198523 1.851418
-0.203056 1.851277
-0.207586 1.851134
-0.212110 1.850989
-0.216630 1.850842
-0.221145 1.850694
-0.225655 1.850544
-0.230161 1.850391
-0.234662 1.850237
-0.239158 1.850082
-0.243649 1.849924
-0.248136 1.849764
-0.252617 1.849603
-0.257094 1.849440
-0.261566 1.849275
-0.266033 1.849108
-0.270495 1.848939
-0.274952 1.848768
-0.279404 1.848596
-0.283851 1.848422
-0.288293 1.848246
-0.292729 1.848068
-0.297161 1.847888
-0.301588 1.847706
-0.306009 1.847523
-0.310426 1.847338
-0.314837 1.847150
-0.319243 1.846962
-0.323644 1.846771
-0.328039 1.846578
-0.332430 1.846384
-0.336815 1.846188
-0.341194 1.845990
-0.345569 1.845790
-0.349938 1.845588
-0.354301 1.845385
-0.358659 1.845179
-0.363012 1.844972
-0.367360 1.844763
-0.371701 1.844552
-0.376038 1.844340
-0.380369 1.844125
-0.384694 1.843909
-0.389014 1.843691
-0.393328 1.843471
-0.397636 1.843250
-0.401939 1.843026
-0.406236 1.842801
-0.410528 1.842574
-0.414814 1.842345
-0.419094 1.842114
-0.423368 1.841882
-0.427637 1.841648
-0.431900 1.841412
-0.436157 1.841174
-0.440408 1.840934
-0.444653 1.840693
-0.448893 1.840449
-0.453126 1.840204
-0.457354 1.839957
-0.461576 1.839709
-0.465792 1.839458
-0.470001 1.839206
-0.474205 1.838952
-0.478403 1.838696
-0.482594 1.838439
-0.486780 1.838179
-0.490960 1.837918
-0.495133 1.837655
-0.499300 1.837390
-0.503461 1.837124
-0.507616 1.836856
-0.511765 1.836585
-0.515907 1.836314
-0.520043 1.836040
-0.524173 1.835765
-0.528297 1.835487
-0.532414 1.835209
-0.536525 1.834928
-0.540630 1.834645
-0.544728 1.834361
-0.548820 1.834075
-0.552905 1.833787
-0.556984 1.833498
-0.561057 1.833206
-0.565123 1.832913
-0.569182 1.832619
-0.573235 1.832322
-0.577281 1.832024
-0.581321 1.831724
-0.585354 1.831422
-0.589381 1.831118
-0.593401 1.830813
-0.597414 1.830506
-0.601421 1.830197
-0.605421 1.829886
-0.609414 1.829574
-0.613401 1.829260
-0.617380 1.828944
-0.621353 1.828626
-0.625319 1.828307
-0.629279 1.827986
-0.633231 1.827663
-0.637177 1.827339
-0.641115 1.827013
-0.645047 1.826685
-0.648972 1.826355
-0.652890 1.826024
-0.656801 1.825690
-0.660704 1.825355
-0.664601 1.825019
-0.668491 1.824681
-0.672374 1.824340
-0.676250 1.823999
-0.680118 1.823655
-0.683980 1.823310
-0.687834 1.822963
-0.691681 1.822614
-0.695521 1.822264
-0.699354 1.821912
-0.703179 1.821558
-0.706998 1.821203
-0.710809 1.820846
-0.714613 1.820487
-0.718409 1.820126
-0.722198 1.819764
-0.725980 1.819400
-0.729754 1.819034
-0.733521 1.818667
-0.737281 1.818298
-0.741033 1.817927
-0.744778 1.817554
-0.748515 1.817180
-0.752245 1.816804
-0.755967 1.816427
-0.759682 1.816048
-0.763389 1.815667
-0.767089 1.815284
-0.770781 1.814900
-0.774466 1.814514
-0.778143 1.814127
-0.781812 1.813737
-0.785473 1.813346
-0.789127 1.812954
-0.792773 1.812559
-0.796412 1.812164
-0.800042 1.811766
-0.803665 1.811367
-0.807280 1.810966
-0.810888 1.810563
-0.814487 1.810159
-0.818079 1.809753
-0.821663 1.809345
-0.825239 1.808936
-0.828807 1.808525
-0.832367 1.808113
-0.835919 1.807699
-0.839463 1.807283
-0.842999 1.806865
-0.846527 1.806446
-0.850048 1.806026
-0.853560 1.805603
-0.857064 1.805179
-0.860560 1.804754
-0.864048 1.804326
-0.867528 1.803898
-0.871000 1.803467
-0.874463 1.803035
-0.877918 1.802601
-0.881366 1.802166
-0.884805 1.801729
-0.888235 1.801290
-0.891658 1.800850
-0.895072 1.800408
-0.898478 1.799965
-0.901876 1.799519
-0.905265 1.799073
-0.908646 1.798625
-0.912019 1.798175
-0.915383 1.797723
-0.918739 1.797270
-0.922087 1.796815
-0.925426 1.796359
-0.928756 1.795901
-0.932079 1.795442
-0.935392 1.794981
-0.938697 1.794518
-0.941994 1.794054
-0.945282 1.793588
-0.948562 1.793121
-0.951833 1.792652
-0.955095 1.792181
-0.958349 1.791709
-0.961594 1.791235
-0.964830 1.790760
-0.968058 1.790283
-0.971277 1.789805
-0.974488 1.789325
-0.977690 1.788843
-0.980883 1.788360
-0.984067 1.787876
-0.987242 1.787389
-0.990409 1.786902
