# type = 1
# x0 = 0.1, y0 = 0, z0 = 0
# projection: horizontal = z, vertical = x
# z   x
0.577521 1.827317
0.573022 1.827385
0.568525 1.827450
0.564030 1.827514
0.559537 1.827576
0.555045 1.827636
0.550555 1.827695
0.546067 1.827752
0.541581 1.827807
0.537097 1.827860
0.532615 1.827911
0.528134 1.827961
0.523656 1.828009
0.519180 1.828055
0.514706 1.828100
0.510234 1.828142
0.505763 1.828183
0.501296 1.828222
0.496830 1.828260
0.492366 1.828295
0.487904 1.828329
0.483445 1.828361
0.478988 1.828391
0.474533 1.828420
0.470080 1.828446
0.465630 1.828471
0.461182 1.828495
0.456736 1.828516
0.452293 1.828536
0.447852 1.828554
0.443413 1.828570
0.438977 1.828584
0.434543 1.828597
0.430112 1.828608
0.425683 1.828617
0.421257 1.828624
0.416833 1.828630
0.412412 1.828634
0.407993 1.828636
0.403577 1.828636
0.399164 1.828635
0.394753 1.828631
0.390345 1.828626
0.385939 1.828620
0.381537 1.828611
0.377137 1.828601
0.372740 1.828589
0.368345 1.828575
0.363954 1.828560
0.359565 1.828543
0.355179 1.828524
0.350796 1.828503
0.346415 1.828480
0.342038 1.828456
0.337664 1.828430
0.333292 1.828402
0.328924 1.828373
0.324558 1.828342
0.320196 1.828309
0.315837 1.828274
0.311480 1.828238
0.307127 1.828199
0.302777 1.828159
0.298430 1.828118
0.294086 1.828074
0.289746 1.828029
0.285408 1.827982
0.281074 1.827933
0.276743 1.827883
0.272416 1.827831
0.268091 1.827777
0.263770 1.827721
0.259452 1.827664
0.255138 1.827605
0.250827 1.827544
0.246520 1.827481
0.242215 1.827417
0.237915 1.827351
0.233617 1.827283
0.229324 1.827213
0.225033 1.827142
0.220747 1.827069
0.216463 1.826994
0.212184 1.826918
0.207908 1.826839
0.203635 1.826759
0.199367 1.826678
0.195102 1.826594
0.190840 1.826509
0.186583 1.826422
0.182329 1.826334
0.178078 1.826243
0.173832 1.826151
0.169589 1.826057
0.165350 1.825962
0.161115 1.825865
0.156884 1.825766
0.152657 1.825665
0.148434 1.825563
0.144214 1.825459
0.139999 1.825353
0.135787 1.825245
0.131580 1.825136
0.127376 1.825025
0.123177 1.824912
0.118981 1.824798
0.114790 1.824682
0.110603 1.824564
0.106420 1.824444
0.102241 1.824323
0.098066 1.824200
0.093895 1.824075
0.089729 1.823949
0.085566 1.823821
0.081408 1.823691
0.077255 1.823559
0.073105 1.823426
0.068960 1.823291
0.064819 1.823155
0.060683 1.823016
0.056551 1.822876
0.052423 1.822734
0.048300 1.822591
0.044181 1.822446
0.040067 1.822299
0.035957 1.822150
0.031851 1.822000
0.027751 1.821848
0.023654 1.821695
0.019562 1.821539
0.015475 1.821382
0.011393 1.821224
0.007315 1.821063
0.003241 1.820901
-0.000827 1.820737
-0.004891 1.820572
-0.008950 1.820405
-0.013005 1.820236
-0.017055 1.820065
-0.021100 1.819893
-0.025140 1.819719
-0.029175 1.819544
-0.033206 1.819367
-0.037232 1.819188
-0.041252 1.819007
-0.045268 1.818825
-0.049279 1.818641
-0.053286 1.818455
-0.057287 1.818268
-0.061283 1.818079
-0.065274 1.817888
-0.069260 1.817696
-0.073241 1.817502
-0.077217 1.817307
-0.081188 1.817109
-0.085154 1.816910
-0.089115 1.816710
-0.093070 1.816507
-0.097021 1.816303
-0.100966 1.816098
-0.104906 1.815890
-0.108841 1.815682
-0.112771 1.815471
-0.116695 1.815259
-0.120614 1.815045
-0.124528 1.814829
-0.128436 1.814612
-0.132339 1.814393
-0.136237 1.814173
-0.140129 1.813951
-0.144016 1.813727
-0.147898 1.813501
-0.151774 1.813274
-0.155644 1.813045
-0.159509 1.812815
-0.163369 1.812583
-0.167223 1.812349
-0.171072 1.812114
-0.174914 1.811877
-0.178752 1.811639
-0.182584 1.811398
-0.186410 1.811157
-0.190230 1.810913
-0.194045 1.810668
-0.197854 1.810421
-0.201658 1.810173
-0.205456 1.809923
-0.209248 1.809671
-0.213034 1.809418
-0.216814 1.809163
-0.220589 1.808907
-0.224358 1.808649
-0.228121 1.808389
-0.231878 1.808128
-0.235629 1.807865
-0.239375 1.807600
-0.243114 1.807334
-0.246848 1.807066
-0.250575 1.806797
-0.254297 1.806526
-0.258013 1.806253
-0.261722 1.805979
-0.265426 1.805703
-0.269123 1.805426
-0.272815 1.805147
-0.276500 1.804866
-0.280179 1.804584
-0.283852 1.804300
-0.287519 1.804015
-0.291180 1.803728
-0.294835 1.803439
-0.298483 1.803149
-0.302126 1.802857
-0.305762 1.802564
-0.309391 1.802269
-0.313015 1.801973
-0.316632 1.801675
-0.320243 1.801375
-0.323847 1.801074
-0.327445 1.800771
-0.331037 1.800466
-0.334622 1.800160
-0.338201 1.799853
-0.341774 1.799544
-0.345340 1.799233
-0.348899 1.798921
-0.352453 1.798607
-0.355999 1.798291
-0.359539 1.797975
-0.363073 1.797656
-0.366600 1.797336
-0.370120 1.797014
-0.373634 1.796691
-0.377141 1.796366
-0.380642 1.796040
-0.384136 1.795712
-0.387623 1.795383
-0.391104 1.795052
-0.394578 1.794719
-0.398045 1.794385
-0.401505 1.794050
-0.404959 1.793712
-0.408406 1.793374
-0.411846 1.793033
-0.415279 1.792692
-0.418705 1.792348
-0.422125 1.792004
-0.425538 1.791657
-0.428944 1.791309
-0.432343 1.790960
-0.435735 1.790609
-0.439120 1.790256
-0.442498 1.789902
-0.445869 1.789547
-0.449233 1.789190
-0.452590 1.788831
-0.455940 1.788471
-0.459283 1.788110
-0.462619 1.787747
-0.465948 1.787382
-0.469270 1.787016
-0.472585 1.786648
-0.475893 1.786279
-0.479193 1.785908
-0.482486 1.785536
-0.485772 1.785163
-0.489051 1.784788
-0.492323 1.784411
-0.495587 1.784033
-0.498845 1.783653
-0.502095 1.783272
-0.505337 1.782890
-0.508572 1.782505
-0.511800 1.782120
-0.515021 1.781733
-0.518234 1.781344
-0.521440 1.780954
-0.524639 1.780563
-0.527830 1.780170
-0.531014 1.779775
-0.534190 1.779379
-0.537359 1.778982
-0.540520 1.778583
-0.543674 1.778183
-0.546821 1.777781
-0.549959 1.777378
-0.553091 1.776973
-0.556215 1.776567
-0.559331 1.776159
-0.562439 1.775750
-0.565540 1.775340
-0.568634 1.774928
-0.571719 1.774514
-0.574797 1.774100
-0.577868 1.773683
-0.580930 1.773266
-0.583985 1.772846
-0.587033 1.772426
-0.590072 1.772004
-0.593104 1.771580
-0.596128 1.771155
-0.599144 1.770729
-0.602153 1.770301
-0.605153 1.769872
-0.608146 1.769441
-0.611131 1.769009
-0.614108 1.768576
-0.617077 1.768141
-0.620039 1.767705
-0.622992 1.767267
-0.625938 1.766828
-0.628875 1.766387
-0.631805 1.765945
-0.634726 1.765502
-0.637640 1.765057
-0.640545 1.764611
-0.643443 1.764163
-0.646332 1.763714
-0.649214 1.763264
-0.652087 1.762812
-0.654953 1.762359
-0.657810 1.761905
-0.660659 1.761449
-0.663500 1.760991
-0.666333 1.760533
-0.669157 1.760073
-0.671974 1.759611
-0.674782 1.759149
-0.677582 1.758684
-0.680374 1.758219
-0.683158 1.757752
-0.685933 1.757284
-0.688700 1.756814
-0.691459 1.756343
-0.694210 1.755871
-0.696952 1.755397
-0.699686 1.754922
-0.702411 1.754446
-0.705128 1.753968
-0.707837 1.753489
-0.710538 1.753008
-0.713230 1.752526
-0.715913 1.752043
-0.718589 1.751559
-0.721255 1.751073
-0.723914 1.750586
-0.726563 1.750097
-0.729205 1.749607
-0.731838 1.749116
-0.734462 1.748624
-0.737078 1.748130
-0.739685 1.747635
-0.742284 1.747139
-0.744874 1.746641
-0.747455 1.746142
-0.750028 1.745641
-0.752593 1.745140
-0.755148 1.744637
-0.757695 1.744132
-0.760234 1.743627
-0.762763 1.743120
-0.765284 1.742612
-0.767797 1.742102
-0.770300 1.741592
-0.772795 1.741079
-0.775281 1.740566
-0.777759 1.740051
-0.780227 1.739536
-0.782687 1.739018
-0.785138 1.738500
-0.787581 1.737980
-0.790014 1.737459
-0.792439 1.736937
-0.794854 1.736413
-0.797261 1.735889
-0.799659 1.735362
-0.802048 1.734835
-0.804429 1.734307
-0.806800 1.733777
-0.809162 1.733246
-0.811516 1.732713
-0.813860 1.732180
-0.816196 1.731645
-0.818522 1.731109
-0.820840 1.730571
-0.823148 1.730033
-0.825448 1.729493
-0.827738 1.728952
-0.830020 1.728410
-0.832292 1.727866
-0.834555 1.727322
-0.836810 1.726776
-0.839055 1.726228
-0.841291 1.725680
-0.843518 1.725130
-0.845735 1.724580
-0.847944 1.724028
-0.850144 1.723474
-0.852334 1.722920
-0.854515 1.722364
-0.856687 1.721808
-0.858850 1.721250
