# circle in zeta-plane case 4
# xi0 = -0.1, eta0 = 0, r = 1.1
# xi   eta   xi/a   eta/a
-0.978499 -0.661997 -0.978499 -0.661997
-0.972689 -0.669638 -0.972689 -0.669638
-0.966812 -0.677228 -0.966812 -0.677228
-0.960869 -0.684766 -0.960869 -0.684766
-0.954861 -0.692252 -0.954861 -0.692252
-0.948787 -0.699686 -0.948787 -0.699686
-0.942649 -0.707066 -0.942649 -0.707066
-0.936447 -0.714393 -0.936447 -0.714393
-0.930181 -0.721665 -0.930181 -0.721665
-0.923851 -0.728882 -0.923851 -0.728882
-0.917459 -0.736044 -0.917459 -0.736044
-0.911005 -0.743149 -0.911005 -0.743149
-0.904489 -0.750198 -0.904489 -0.750198
-0.897912 -0.757190 -0.897912 -0.757190
-0.891274 -0.764124 -0.891274 -0.764124
-0.884575 -0.771000 -0.884575 -0.771000
-0.877817 -0.777817 -0.877817 -0.777817
-0.871000 -0.784575 -0.871000 -0.784575
-0.864124 -0.791274 -0.864124 -0.791274
-0.857190 -0.797912 -0.857190 -0.797912
-0.850198 -0.804489 -0.850198 -0.804489
-0.843149 -0.811005 -0.843149 -0.811005
-0.836044 -0.817459 -0.836044 -0.817459
-0.828882 -0.823851 -0.828882 -0.823851
-0.821665 -0.830181 -0.821665 -0.830181
-0.814393 -0.836447 -0.814393 -0.836447
-0.807066 -0.842649 -0.807066 -0.842649
-0.799686 -0.848787 -0.799686 -0.848787
-0.792252 -0.854861 -0.792252 -0.854861
-0.784766 -0.860869 -0.784766 -0.860869
-0.777228 -0.866812 -0.777228 -0.866812
-0.769638 -0.872689 -0.769638 -0.872689
-0.761997 -0.878499 -0.761997 -0.878499
-0.754305 -0.884243 -0.754305 -0.884243
-0.746564 -0.889919 -0.746564 -0.889919
-0.738773 -0.895527 -0.738773 -0.895527
-0.730934 -0.901067 -0.730934 -0.901067
-0.723047 -0.906539 -0.723047 -0.906539
-0.715112 -0.911941 -0.715112 -0.911941
-0.707131 -0.917274 -0.707131 -0.917274
-0.699103 -0.922538 -0.699103 -0.922538
-0.691030 -0.927731 -0.691030 -0.927731
-0.682911 -0.932853 -0.682911 -0.932853
-0.674748 -0.937904 -0.674748 -0.937904
-0.666542 -0.942884 -0.666542 -0.942884
-0.658292 -0.947792 -0.658292 -0.947792
-0.650000 -0.952628 -0.650000 -0.952628
-0.641666 -0.957391 -0.641666 -0.957391
-0.633291 -0.962082 -0.633291 -0.962082
-0.624875 -0.966699 -0.624875 -0.966699
-0.616419 -0.971242 -0.616419 -0.971242
-0.607923 -0.975712 -0.607923 -0.975712
-0.599390 -0.980107 -0.599390 -0.980107
-0.590818 -0.984428 -0.590818 -0.984428
-0.582208 -0.988673 -0.582208 -0.988673
-0.573562 -0.992844 -0.573562 -0.992844
-0.564880 -0.996939 -0.564880 -0.996939
-0.556163 -1.000957 -0.556163 -1.000957
-0.547410 -1.004900 -0.547410 -1.004900
-0.538624 -1.008766 -0.538624 -1.008766
-0.529804 -1.012555 -0.529804 -1.012555
-0.520952 -1.016267 -0.520952 -1.016267
-0.512067 -1.019902 -0.512067 -1.019902
-0.503151 -1.023459 -0.503151 -1.023459
-0.494205 -1.026938 -0.494205 -1.026938
-0.485228 -1.030339 -0.485228 -1.030339
-0.476222 -1.033662 -0.476222 -1.033662
-0.467188 -1.036906 -0.467188 -1.036906
-0.458125 -1.040070 -0.458125 -1.040070
-0.449035 -1.043156 -0.449035 -1.043156
-0.439919 -1.046162 -0.439919 -1.046162
-0.430776 -1.049089 -0.430776 -1.049089
-0.421609 -1.051935 -0.421609 -1.051935
-0.412417 -1.054702 -0.412417 -1.054702
-0.403201 -1.057388 -0.403201 -1.057388
-0.393962 -1.059993 -0.393962 -1.059993
-0.384701 -1.062518 -0.384701 -1.062518
-0.375418 -1.064962 -0.375418 -1.064962
-0.366114 -1.067325 -0.366114 -1.067325
-0.356790 -1.069607 -0.356790 -1.069607
-0.347446 -1.071807 -0.347446 -1.071807
-0.338084 -1.073926 -0.338084 -1.073926
-0.328703 -1.075962 -0.328703 -1.075962
-0.319305 -1.077917 -0.319305 -1.077917
-0.309890 -1.079790 -0.309890 -1.079790
-0.300459 -1.081580 -0.300459 -1.081580
-0.291013 -1.083289 -0.291013 -1.083289
-0.281552 -1.084914 -0.281552 -1.084914
-0.272078 -1.086457 -0.272078 -1.086457
-0.262590 -1.087917 -0.262590 -1.087917
-0.253090 -1.089295 -0.253090 -1.089295
-0.243579 -1.090589 -0.243579 -1.090589
-0.234056 -1.091801 -0.234056 -1.091801
-0.224524 -1.092929 -0.224524 -1.092929
-0.214981 -1.093974 -0.214981 -1.093974
-0.205430 -1.094936 -0.205430 -1.094936
-0.195871 -1.095814 -0.195871 -1.095814
-0.186305 -1.096609 -0.186305 -1.096609
-0.176732 -1.097320 -0.176732 -1.097320
-0.167153 -1.097948 -0.167153 -1.097948
-0.157570 -1.098492 -0.157570 -1.098492
-0.147981 -1.098953 -0.147981 -1.098953
-0.138389 -1.099330 -0.138389 -1.099330
-0.128795 -1.099623 -0.128795 -1.099623
-0.119198 -1.099832 -0.119198 -1.099832
-0.109599 -1.099958 -0.109599 -1.099958
-0.100000 -1.100000 -0.100000 -1.100000
-0.090401 -1.099958 -0.090401 -1.099958
-0.080802 -1.099832 -0.080802 -1.099832
-0.071205 -1.099623 -0.071205 -1.099623
-0.061611 -1.099330 -0.061611 -1.099330
-0.052019 -1.098953 -0.052019 -1.098953
-0.042430 -1.098492 -0.042430 -1.098492
-0.032847 -1.097948 -0.032847 -1.097948
-0.023268 -1.097320 -0.023268 -1.097320
-0.013695 -1.096609 -0.013695 -1.096609
-0.004129 -1.095814 -0.004129 -1.095814
0.005430 -1.094936 0.005430 -1.094936
0.014981 -1.093974 0.014981 -1.093974
0.024524 -1.092929 0.024524 -1.092929
0.034056 -1.091801 0.034056 -1.091801
0.043579 -1.090589 0.043579 -1.090589
0.053090 -1.089295 0.053090 -1.089295
0.062590 -1.087917 0.062590 -1.087917
0.072078 -1.086457 0.072078 -1.086457
0.081552 -1.084914 0.081552 -1.084914
0.091013 -1.083289 0.091013 -1.083289
0.100459 -1.081580 0.100459 -1.081580
0.109890 -1.079790 0.109890 -1.079790
0.119305 -1.077917 0.119305 -1.077917
0.128703 -1.075962 0.128703 -1.075962
0.138084 -1.073926 0.138084 -1.073926
0.147446 -1.071807 0.147446 -1.071807
0.156790 -1.069607 0.156790 -1.069607
0.166114 -1.067325 0.166114 -1.067325
0.175418 -1.064962 0.175418 -1.064962
0.184701 -1.062518 0.184701 -1.062518
0.193962 -1.059993 0.193962 -1.059993
0.203201 -1.057388 0.203201 -1.057388
0.212417 -1.054702 0.212417 -1.054702
0.221609 -1.051935 0.221609 -1.051935
0.230776 -1.049089 0.230776 -1.049089
0.239919 -1.046162 0.239919 -1.046162
0.249035 -1.043156 0.249035 -1.043156
0.258125 -1.040070 0.258125 -1.040070
0.267188 -1.036906 0.267188 -1.036906
0.276222 -1.033662 0.276222 -1.033662
0.285228 -1.030339 0.285228 -1.030339
0.294205 -1.026938 0.294205 -1.026938
0.303151 -1.023459 0.303151 -1.023459
0.312067 -1.019902 0.312067 -1.019902
0.320952 -1.016267 0.320952 -1.016267
0.329804 -1.012555 0.329804 -1.012555
0.338624 -1.008766 0.338624 -1.008766
0.347410 -1.004900 0.347410 -1.004900
0.356163 -1.000957 0.356163 -1.000957
0.364880 -0.996939 0.364880 -0.996939
0.373562 -0.992844 0.373562 -0.992844
0.382208 -0.988673 0.382208 -0.988673
