# circle in zeta-plane case 9
# xi0 = -0.1, eta0 = 0.3, r = 1.14018
# xi   eta   xi/a   eta/a
-0.940626 -0.470291 -0.940626 -0.470291
-0.933872 -0.477598 -0.933872 -0.477598
-0.927054 -0.484845 -0.927054 -0.484845
-0.920174 -0.492032 -0.920174 -0.492032
-0.913231 -0.499160 -0.913231 -0.499160
-0.906226 -0.506226 -0.906226 -0.506226
-0.899160 -0.513231 -0.899160 -0.513231
-0.892032 -0.520174 -0.892032 -0.520174
-0.884845 -0.527054 -0.884845 -0.527054
-0.877598 -0.533872 -0.877598 -0.533872
-0.870291 -0.540626 -0.870291 -0.540626
-0.862926 -0.547315 -0.862926 -0.547315
-0.855503 -0.553941 -0.855503 -0.553941
-0.848022 -0.560501 -0.848022 -0.560501
-0.840485 -0.566996 -0.840485 -0.566996
-0.832891 -0.573425 -0.832891 -0.573425
-0.825241 -0.579787 -0.825241 -0.579787
-0.817536 -0.586083 -0.817536 -0.586083
-0.809776 -0.592311 -0.809776 -0.592311
-0.801962 -0.598470 -0.801962 -0.598470
-0.794095 -0.604562 -0.794095 -0.604562
-0.786175 -0.610585 -0.786175 -0.610585
-0.778202 -0.616538 -0.778202 -0.616538
-0.770178 -0.622421 -0.770178 -0.622421
-0.762103 -0.628235 -0.762103 -0.628235
-0.753978 -0.633977 -0.753978 -0.633977
-0.745802 -0.639648 -0.745802 -0.639648
-0.737578 -0.645248 -0.737578 -0.645248
-0.729305 -0.650776 -0.729305 -0.650776
-0.720984 -0.656232 -0.720984 -0.656232
-0.712616 -0.661614 -0.712616 -0.661614
-0.704201 -0.666924 -0.704201 -0.666924
-0.695740 -0.672159 -0.695740 -0.672159
-0.687234 -0.677321 -0.687234 -0.677321
-0.678683 -0.682408 -0.678683 -0.682408
-0.670088 -0.687421 -0.670088 -0.687421
-0.661449 -0.692358 -0.661449 -0.692358
-0.652768 -0.697220 -0.652768 -0.697220
-0.644045 -0.702006 -0.644045 -0.702006
-0.635280 -0.706715 -0.635280 -0.706715
-0.626474 -0.711348 -0.626474 -0.711348
-0.617629 -0.715904 -0.617629 -0.715904
-0.608744 -0.720382 -0.608744 -0.720382
-0.599820 -0.724783 -0.599820 -0.724783
-0.590858 -0.729106 -0.590858 -0.729106
-0.581859 -0.733350 -0.581859 -0.733350
-0.572823 -0.737515 -0.572823 -0.737515
-0.563751 -0.741602 -0.563751 -0.741602
-0.554644 -0.745609 -0.554644 -0.745609
-0.545502 -0.749537 -0.545502 -0.749537
-0.536326 -0.753385 -0.536326 -0.753385
-0.527117 -0.757152 -0.527117 -0.757152
-0.517876 -0.760839 -0.517876 -0.760839
-0.508602 -0.764445 -0.508602 -0.764445
-0.499298 -0.767971 -0.499298 -0.767971
-0.489963 -0.771414 -0.489963 -0.771414
-0.480598 -0.774777 -0.480598 -0.774777
-0.471205 -0.778057 -0.471205 -0.778057
-0.461783 -0.781255 -0.461783 -0.781255
-0.452334 -0.784371 -0.452334 -0.784371
-0.442857 -0.787405 -0.442857 -0.787405
-0.433355 -0.790355 -0.433355 -0.790355
-0.423827 -0.793223 -0.423827 -0.793223
-0.414275 -0.796007 -0.414275 -0.796007
-0.404699 -0.798708 -0.404699 -0.798708
-0.395099 -0.801325 -0.395099 -0.801325
-0.385477 -0.803858 -0.385477 -0.803858
-0.375833 -0.806307 -0.375833 -0.806307
-0.366169 -0.808672 -0.366169 -0.808672
-0.356484 -0.810953 -0.356484 -0.810953
-0.346779 -0.813149 -0.346779 -0.813149
-0.337056 -0.815260 -0.337056 -0.815260
-0.327314 -0.817286 -0.327314 -0.817286
-0.317556 -0.819227 -0.317556 -0.819227
-0.307780 -0.821083 -0.307780 -0.821083
-0.297989 -0.822854 -0.297989 -0.822854
-0.288183 -0.824539 -0.288183 -0.824539
-0.278363 -0.826138 -0.278363 -0.826138
-0.268529 -0.827652 -0.268529 -0.827652
-0.258682 -0.829079 -0.258682 -0.829079
-0.248823 -0.830421 -0.248823 -0.830421
-0.238952 -0.831677 -0.238952 -0.831677
-0.229072 -0.832846 -0.229072 -0.832846
-0.219181 -0.833929 -0.219181 -0.833929
-0.209281 -0.834926 -0.209281 -0.834926
-0.199373 -0.835837 -0.199373 -0.835837
-0.189457 -0.836661 -0.189457 -0.836661
-0.179535 -0.837398 -0.179535 -0.837398
-0.169606 -0.838049 -0.169606 -0.838049
-0.159672 -0.838613 -0.159672 -0.838613
-0.149734 -0.839090 -0.149734 -0.839090
-0.139792 -0.839481 -0.139792 -0.839481
-0.129846 -0.839785 -0.129846 -0.839785
-0.119899 -0.840002 -0.119899 -0.840002
-0.109950 -0.840132 -0.109950 -0.840132
-0.100000 -0.840175 -0.100000 -0.840175
-0.090050 -0.840132 -0.090050 -0.840132
-0.080101 -0.840002 -0.080101 -0.840002
-0.070154 -0.839785 -0.070154 -0.839785
-0.060208 -0.839481 -0.060208 -0.839481
-0.050266 -0.839090 -0.050266 -0.839090
-0.040328 -0.838613 -0.040328 -0.838613
-0.030394 -0.838049 -0.030394 -0.838049
-0.020465 -0.837398 -0.020465 -0.837398
-0.010543 -0.836661 -0.010543 -0.836661
-0.000627 -0.835837 -0.000627 -0.835837
0.009281 -0.834926 0.009281 -0.834926
0.019181 -0.833929 0.019181 -0.833929
0.029072 -0.832846 0.029072 -0.832846
0.038952 -0.831677 0.038952 -0.831677
0.048823 -0.830421 0.048823 -0.830421
0.058682 -0.829079 0.058682 -0.829079
0.068529 -0.827652 0.068529 -0.827652
0.078363 -0.826138 0.078363 -0.826138
0.088183 -0.824539 0.088183 -0.824539
0.097989 -0.822854 0.097989 -0.822854
0.107780 -0.821083 0.107780 -0.821083
0.117556 -0.819227 0.117556 -0.819227
0.127314 -0.817286 0.127314 -0.817286
0.137056 -0.815260 0.137056 -0.815260
0.146779 -0.813149 0.146779 -0.813149
0.156484 -0.810953 0.156484 -0.810953
0.166169 -0.808672 0.166169 -0.808672
0.175833 -0.806307 0.175833 -0.806307
0.185477 -0.803858 0.185477 -0.803858
0.195099 -0.801325 0.195099 -0.801325
0.204699 -0.798708 0.204699 -0.798708
0.214275 -0.796007 0.214275 -0.796007
0.223827 -0.793223 0.223827 -0.793223
0.233355 -0.790355 0.233355 -0.790355
0.242857 -0.787405 0.242857 -0.787405
0.252334 -0.784371 0.252334 -0.784371
0.261783 -0.781255 0.261783 -0.781255
0.271205 -0.778057 0.271205 -0.778057
0.280598 -0.774777 0.280598 -0.774777
0.289963 -0.771414 0.289963 -0.771414
0.299298 -0.767971 0.299298 -0.767971
0.308602 -0.764445 0.308602 -0.764445
0.317876 -0.760839 0.317876 -0.760839
0.327117 -0.757152 0.327117 -0.757152
0.336326 -0.753385 0.336326 -0.753385
0.345502 -0.749537 0.345502 -0.749537
0.354644 -0.745609 0.354644 -0.745609
